time,citycode,cityname,index,last_index,index_level,speed,city_coords,provincecode,provincename,weekRate
201903250935,131,北京,2.21,2.07,4,21.13,"12959238.56,4825347.47",131,北京,0.068
201903250935,146,贵阳,2.17,2.23,4,20.79,"11870885.18,3060812.20",24,贵州,-0.027
201903250935,300,福州,2.12,1.94,4,20.77,"13280886.83,2990092.74",16,福建,0.093
201903250935,132,重庆,2.07,2.33,4,22.43,"11862018.46,3427244.19",132,重庆,-0.112
201903250935,179,杭州,2.06,1.97,4,20.31,"13376484.03,3517857.39",29,浙江,0.046
201903250935,92,乌鲁木齐,1.96,1.95,3,22.20,"9754288.85,5409732.61",12,新疆,0.005
201903250935,48,哈尔滨,1.90,1.75,3,21.66,"14086790.68,5718671.60",2,黑龙江,0.086
201903250935,218,武汉,1.89,1.77,3,22.08,"12725273.29,3558757.28",15,湖北,0.068
201903250935,340,深圳,1.88,1.71,3,24.18,"12697919.69,2560977.31",7,广东,0.099
201903250935,316,徐州,1.87,1.61,3,21.82,"13057066.72,4032808.36",18,江苏,0.161
201903250935,289,上海,1.87,1.97,3,20.87,"13523265.31,3641114.64",289,上海,-0.051
201903250935,138,佛山,1.83,1.71,3,24.20,"12593536.51,2618504.74",7,广东,0.07
201903250935,315,南京,1.81,1.77,3,23.20,"13225221.26,3748918.53",18,江苏,0.023
201903250935,134,泉州,1.81,1.62,3,25.76,"13211798.77,2842902.63",16,福建,0.117
201903250935,158,长沙,1.79,1.78,2,24.68,"12573153.72,3258106.27",26,湖南,0.006
201903250935,257,广州,1.78,1.65,2,25.34,"12609384.20,2631450.58",7,广东,0.079
201903250935,75,成都,1.77,2.06,2,25.77,"11585280.82,3555907.48",32,四川,-0.141
201903250935,127,合肥,1.76,1.73,2,24.51,"13050732.25,3717865.48",23,安徽,0.017
201903250935,119,东莞,1.73,1.53,2,27.50,"12663646.09,2618419.30",7,广东,0.131
201903250935,58,沈阳,1.72,1.62,2,23.84,"13741313.13,5104005.77",19,辽宁,0.062
201903250935,159,衡阳,1.70,1.85,2,25.02,"12532306.19,3091415.96",26,湖南,-0.081
201903250935,141,梅州,1.70,1.61,2,24.93,"12927581.68,2771574.07",7,广东,0.056
201903250935,100,拉萨,1.66,1.55,2,25.18,"10143656.46,3437319.30",13,西藏,0.071
201903250935,149,沧州,1.66,1.64,2,29.85,"13007297.74,4596606.70",25,河北,0.012
201903250935,178,温州,1.66,1.72,2,25.29,"13437062.10,3228868.44",29,浙江,-0.035
201903250935,36,兰州,1.66,1.57,2,25.41,"11559618.74,4284497.52",6,甘肃,0.057
201903250935,248,内江,1.63,1.42,2,27.01,"11695912.71,3429133.90",32,四川,0.148
